Kreisschluessel;Wahlkreis;Name
161;Oberbayern;Ingolstadt, krfr. St
162;Oberbayern;München, Landeshauptstadt
163;Oberbayern;Rosenheim, krfr. St
171;Oberbayern;Altötting
172;Oberbayern;Berchtesgadener Land
173;Oberbayern;Bad Tölz-Wolfratshausen
174;Oberbayern;Dachau
175;Oberbayern;Ebersberg
176;Oberbayern;Eichstätt
177;Oberbayern;Erding
178;Oberbayern;Freising
179;Oberbayern;Fürstenfeldbruck
180;Oberbayern;Garmisch-Partenkirchen
181;Oberbayern;Landsberg am Lech
182;Oberbayern;Miesbach
183;Oberbayern;Mühldorf a.Inn
184;Oberbayern;München
185;Oberbayern;Neuburg-Schrobenhausen
186;Oberbayern;Pfaffenhofen a.d.Ilm
187;Oberbayern;Rosenheim
188;Oberbayern;Starnberg
189;Oberbayern;Traunstein
190;Oberbayern;Weilheim-Schongau
261;Niederbayern;Landshut, krfr. St
262;Niederbayern;Passau, krfr. St
263;Niederbayern;Straubing, krfr. St
271;Niederbayern;Deggendorf
272;Niederbayern;Freyung-Grafenau
273;Niederbayern;Kelheim
274;Niederbayern;Landshut
275;Niederbayern;Passau
276;Niederbayern;Regen
277;Niederbayern;Rottal-Inn
278;Niederbayern;Straubing-Bogen
279;Niederbayern;Dingolfing-Landau
361;Oberpfalz;Amberg, krfr. St
362;Oberpfalz;Regensburg, krfr. St
363;Oberpfalz;Weiden i.d.OPf., krfr. St
371;Oberpfalz;Amberg-Sulzbach
372;Oberpfalz;Cham
373;Oberpfalz;Neumarkt i.d.OPf.
374;Oberpfalz;Neustadt a.d.Waldnaab
375;Oberpfalz;Regensburg
376;Oberpfalz;Schwandorf
377;Oberpfalz;Tirschenreuth
461;Oberfranken;Bamberg, krfr. St
462;Oberfranken;Bayreuth, krfr. St
463;Oberfranken;Coburg, krfr. St
464;Oberfranken;Hof, krfr. St
471;Oberfranken;Bamberg
472;Oberfranken;Bayreuth
473;Oberfranken;Coburg
474;Oberfranken;Forchheim
475;Oberfranken;Hof
476;Oberfranken;Kronach
477;Oberfranken;Kulmbach
478;Oberfranken;Lichtenfels
479;Oberfranken;Wunsiedel i.Fichtelgebirge
561;Mittelfranken;Ansbach, krfr. St
562;Mittelfranken;Erlangen, krfr. St
563;Mittelfranken;Fürth, krfr. St
564;Mittelfranken;Nürnberg, Stadt
565;Mittelfranken;Schwabach, krfr. St
571;Mittelfranken;Ansbach
572;Mittelfranken;Erlangen-Höchstadt
573;Mittelfranken;Fürth
574;Mittelfranken;Nürnberger Land
575;Mittelfranken;Neustadt a.d.Aisch-Bad Windsheim
576;Mittelfranken;Roth
577;Mittelfranken;Weißenburg-Gunzenhausen
661;Unterfranken;Aschaffenburg, krfr. St
662;Unterfranken;Schweinfurt, krfr. St
663;Unterfranken;Würzburg, Stadt
671;Unterfranken;Aschaffenburg
672;Unterfranken;Bad Kissingen
673;Unterfranken;Rhön-Grabfeld
674;Unterfranken;Haßberge
675;Unterfranken;Kitzingen
676;Unterfranken;Miltenberg
677;Unterfranken;Main-Spessart
678;Unterfranken;Schweinfurt
679;Unterfranken;Würzburg
761;Schwaben;Augsburg, Stadt
762;Schwaben;Kaufbeuren, krfr. St
763;Schwaben;Kempten (Allgäu), krfr. St
764;Schwaben;Memmingen, krfr. St
771;Schwaben;Aichach-Friedberg
772;Schwaben;Augsburg
773;Schwaben;Dillingen a.d.Donau
774;Schwaben;Günzburg
775;Schwaben;Neu-Ulm
776;Schwaben;Lindau (Bodensee)
777;Schwaben;Ostallgäu
778;Schwaben;Unterallgäu
779;Schwaben;Donau-Ries
780;Schwaben;Oberallgäu